No.,Smiles,Enthalpy(kcal)
257,C#CCCCC,29.57
258,CC#CC#C,98.73
259,CC#CC=C,59.51
260,CC(=C)C#C,62.14
261,C/C=C\C#C,61.97
262,C/C=C/C#C,61.97
263,C=CCC#C,64.29
264,C#CCCC,34.51
265,CCC#CC,28.85
266,CC(C)C#C,32.6
267,C#CC#C,107.55
268,C#CC=C,72.8
269,CC#CC,34.82
270,C#CCC,39.48
271,CC#C,44.17
272,C#C,54.37
273,C=C/C=C/C=C/C=C,55.93
274,C=C/C=C/C=C,41.11
275,C=C/C=C\C=C,42.54
276,CC(=C)C(=C)C,10.78
277,CCC(=C)C=C,17.66
278,CC=C=C(C)C,24.62
279,CC(C=C)C=C,18.88
280,CC(=C)CC=C,17.66
281,CC(=CC=C)C,15.7
282,C/C=C/C(=C)C,10.33
283,C/C=C\C(=C)C,15.7
284,C/C=C(\C)/C=C,15.7
285,C/C=C(/C)\C=C,16.75
286,CCC(=C=C)C,26.58
287,CC(C)C=C=C,15.58
288,CCCC=C=C,29.09
289,CCC=C=CC,26.96
290,C/C=C/C=C/C,10.35
291,C/C=C/C=C\C,11.33
292,C/C=C\C=C/C,11.33
293,C=C/C=C/CC,13.41
294,C=C/C=C\CC,18.04
295,C=CC/C=C/C,17.66
296,C=CC/C=C\C,18.04
297,C=CCCC=C,20.1
298,CC=C=C=C,69.17
299,C=C(C)C=C,18.07
300,C=C=C(C)C,30.86
301,C=C/C=C/C,18.14
302,C=C/C=C\C,19.67
303,C=CCC=C,25.31
304,CC=C=CC,31.81
305,C=C=CCC,33.63
306,C=C=C=C,76.7
307,C=CC=C,26.24
308,C=C=CC,38.79
309,C=C=C,45.55
